observation_id,site_id,ecosystem,inventory_record_type,site_name,canonical_region,year_raw,year,habitat,species,water_depth_m,depth_range_m,sample_size_n,sediment_or_substrate,sediment_c_stock_g_m2,biomass_c_stock_g_m2,standing_biomass_g_m2,aboveground_biomass_g_m2,belowground_biomass_g_m2,temperature_mean_c,salinity_psu,wave_exposure_index,source_id,raw_workbook,raw_sheet,raw_row_number_excel
obs_site_macroalgae_site_hammerfest_artificial_reefs_hammerfest_barents_sea_norway_25,site_macroalgae_site_hammerfest_artificial_reefs_hammerfest_barents_sea_norway_25,macroalgae,case_study,Hammerfest artificial reefs,Barents Sea,2006–2010,2006,Artificial reef colonization,Saccharina latissima,10.0,,12.0,Concrete and plastic tube reefs,,,,,,,,,src_christie_et_al_2019_summarizing_christie_2011,Norway_Macroalgae_Database.xlsm,Site_Level,28
obs_site_macroalgae_site_kr_tt_y_northern_norway_18,site_macroalgae_site_kr_tt_y_northern_norway_18,macroalgae,true_point_site,Krøttøy,Barents Sea,27.07.2016,2016,Wild kelp population genetics,Saccharina latissima,,coast; 5–10 m commonly sampled,16.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,21
obs_site_macroalgae_site_northern_norway_cultivated_sugar_kelp_depth_experiment_northern_norway_28,site_macroalgae_site_northern_norway_cultivated_sugar_kelp_depth_experiment_northern_norway_28,macroalgae,case_study,Northern Norway cultivated sugar kelp depth experiment,Barents Sea,2021,2021,Cultivated kelp / aquaculture,Saccharina latissima,,"1, 6, and 9 m cultivation depths",,Farmed cultivation lines,,,,,,,,,src_blikra_et_al_2021,Norway_Macroalgae_Database.xlsm,Site_Level,31
obs_site_macroalgae_site_northern_norway_macroalgae_collection_area_near_bod_northern_norway_26,site_macroalgae_site_northern_norway_macroalgae_collection_area_near_bod_northern_norway_26,macroalgae,true_point_site,Northern Norway macroalgae collection area,Barents Sea,October 2014,2014,Wild harvested macroalgae,21 macroalgae species,,,5.0,Intertidal or upper subtidal zone,,,,,,,,,src_biancarosa_et_al_2018,Norway_Macroalgae_Database.xlsm,Site_Level,29
obs_site_macroalgae_site_porsanger_porsangerfjord_northern_norway_20,site_macroalgae_site_porsanger_porsangerfjord_northern_norway_20,macroalgae,true_point_site,Porsanger,Barents Sea,03.08.2016,2016,Wild kelp population genetics,Saccharina latissima,,coast/fjord northern site; exact sampling depth not reported in Table 1,17.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,23
obs_site_macroalgae_site_sommar_y_northern_norway_19,site_macroalgae_site_sommar_y_northern_norway_19,macroalgae,true_point_site,Sommarøy,Barents Sea,13.08.2016,2016,Wild kelp population genetics,Saccharina latissima,,coast; 5–10 m commonly sampled,23.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,22
obs_site_macroalgae_site_b_rdholmen_hardangerfjord_7,site_macroalgae_site_b_rdholmen_hardangerfjord_7,macroalgae,true_point_site,Bårdholmen,Norwegian Sea,08.08.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,30.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,10
obs_site_macroalgae_site_fr_ya_mid_norway_coast_17,site_macroalgae_site_fr_ya_mid_norway_coast_17,macroalgae,true_point_site,Frøya,Norwegian Sea,26.01.2017,2017,Wild kelp population genetics,Saccharina latissima,,coast; 5–10 m commonly sampled,10.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,20
obs_site_macroalgae_site_fuglsetfjorden_sognefjord_12,site_macroalgae_site_fuglsetfjorden_sognefjord_12,macroalgae,true_point_site,Fuglsetfjorden,Norwegian Sea,27.04.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,21.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,15
obs_site_macroalgae_site_gjermundshamn_hardangerfjord_6,site_macroalgae_site_gjermundshamn_hardangerfjord_6,macroalgae,true_point_site,Gjermundshamn,Norwegian Sea,09.11.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,27.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,9
obs_site_macroalgae_site_hafrsfjord_north_sea_southwest_norway_2,site_macroalgae_site_hafrsfjord_north_sea_southwest_norway_2,macroalgae,true_point_site,Hafrsfjord,Norwegian Sea,01.06.2018,2018,Wild kelp population genetics,Saccharina latissima,,coast; 5–10 m commonly sampled,30.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,5
obs_site_macroalgae_site_hardangerfjord_historical_macroalgae_resurvey_hardangerfjord_west_norway_27,site_macroalgae_site_hardangerfjord_historical_macroalgae_resurvey_hardangerfjord_west_norway_27,macroalgae,regional_survey,Hardangerfjord historical macroalgae resurvey,Norwegian Sea,1955–1956 baseline; resurvey published 2014,1955,Fjord macroalgal communities,Mixed macroalgae community,,,22.0,Mixed hard-bottom macroalgal habitats,,,,,,,,,src_husa_et_al_2014,Norway_Macroalgae_Database.xlsm,Site_Level,30
obs_site_macroalgae_site_kilstraumen_sognefjord_9,site_macroalgae_site_kilstraumen_sognefjord_9,macroalgae,true_point_site,Kilstraumen,Norwegian Sea,28.04.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,21.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,12
obs_site_macroalgae_site_klosterfjord_hardangerfjord_3,site_macroalgae_site_klosterfjord_hardangerfjord_3,macroalgae,true_point_site,Klosterfjord,Norwegian Sea,10.11.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,29.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,6
obs_site_macroalgae_site_korsfjorden_southwest_norway_coast_8,site_macroalgae_site_korsfjorden_southwest_norway_coast_8,macroalgae,true_point_site,Korsfjorden,Norwegian Sea,30.03.2017,2017,Wild kelp population genetics,Saccharina latissima,,coast; 5–10 m commonly sampled,17.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,11
obs_site_macroalgae_site_leikanger_sognefjord_13,site_macroalgae_site_leikanger_sognefjord_13,macroalgae,true_point_site,Leikanger,Norwegian Sea,25.04.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,25.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,16
obs_site_macroalgae_site_l_nefjorden_sognefjord_14,site_macroalgae_site_l_nefjorden_sognefjord_14,macroalgae,true_point_site,Lånefjorden,Norwegian Sea,26.04.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,19.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,17
obs_site_macroalgae_site_north_sea_fixed_monitoring_stations_north_sea_coast_southwest_norway_23,site_macroalgae_site_north_sea_fixed_monitoring_stations_north_sea_coast_southwest_norway_23,macroalgae,regional_survey,North Sea fixed monitoring stations,Norwegian Sea,2009–2016; paper includes context to 2017,2009,Wild sugar kelp monitoring,Saccharina latissima / turf algae,,,2.0,,,,,,,,,,src_christie_et_al_2019,Norway_Macroalgae_Database.xlsm,Site_Level,26
obs_site_macroalgae_site_nyhamnarsundet_sognefjord_10,site_macroalgae_site_nyhamnarsundet_sognefjord_10,macroalgae,true_point_site,Nyhamnarsundet,Norwegian Sea,28.04.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,22.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,13
obs_site_macroalgae_site_oppedalsvika_sognefjord_11,site_macroalgae_site_oppedalsvika_sognefjord_11,macroalgae,true_point_site,Oppedalsvika,Norwegian Sea,27.04.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,20.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,14
obs_site_macroalgae_site_risnesstraumen_sognefjord_15,site_macroalgae_site_risnesstraumen_sognefjord_15,macroalgae,true_point_site,Risnesstraumen,Norwegian Sea,27.04.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,21.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,18
obs_site_macroalgae_site_runde_mid_norway_coast_16,site_macroalgae_site_runde_mid_norway_coast_16,macroalgae,true_point_site,Runde,Norwegian Sea,21.03.2018,2018,Wild kelp population genetics,Saccharina latissima,,coast; 5–10 m commonly sampled,24.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,19
obs_site_macroalgae_site_skjerring_hardangerfjord_5,site_macroalgae_site_skjerring_hardangerfjord_5,macroalgae,true_point_site,Skjerring,Norwegian Sea,16.06.2018,2018,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,33.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,8
obs_site_macroalgae_site_solesnes_hardangerfjord_4,site_macroalgae_site_solesnes_hardangerfjord_4,macroalgae,true_point_site,Solesnes,Norwegian Sea,08.11.2017,2017,Wild kelp population genetics,Saccharina latissima,,fjord; S. latissima commonly <5 m,22.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,7
obs_site_macroalgae_site_outer_oslofjord_outer_oslofjord_skagerrak_0,site_macroalgae_site_outer_oslofjord_outer_oslofjord_skagerrak_0,macroalgae,true_point_site,Outer Oslofjord,Skagerrak,20.08.2017,2017,Wild kelp population genetics,Saccharina latissima,,coast; 5–10 m commonly sampled,30.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,3
obs_site_macroalgae_site_skagerrak_fixed_monitoring_stations_skagerrak_22,site_macroalgae_site_skagerrak_fixed_monitoring_stations_skagerrak_22,macroalgae,regional_survey,Skagerrak fixed monitoring stations,Skagerrak,2009–2016; paper includes context to 2017,2009,Wild sugar kelp monitoring,Saccharina latissima / turf algae,,,10.0,,,,,,,,,,src_christie_et_al_2019,Norway_Macroalgae_Database.xlsm,Site_Level,25
obs_site_macroalgae_site_southern_norway_sugar_kelp_survey_skagerrak_and_north_sea_coast_21,site_macroalgae_site_southern_norway_sugar_kelp_survey_skagerrak_and_north_sea_coast_21,macroalgae,regional_survey,Southern Norway sugar kelp survey,Skagerrak,2005–2008,2005,Wild sugar kelp monitoring,Saccharina latissima / turf algae,5.0,mainly 0–20 m transects; 5–6 m used for comparisons,600.0,"Rocky bottoms; bedrock, boulders, stones",,,,,,,,,src_christie_et_al_2019,Norway_Macroalgae_Database.xlsm,Site_Level,24
obs_site_macroalgae_site_s_gne_skagerrak_1,site_macroalgae_site_s_gne_skagerrak_1,macroalgae,true_point_site,Søgne,Skagerrak,13.12.2016,2016,Wild kelp population genetics,Saccharina latissima,,coast; 5–10 m commonly sampled,10.0,,,,,,,,,,src_ribeiro_et_al_2022,Norway_Macroalgae_Database.xlsm,Site_Level,4
obs_site_macroalgae_site_sea_urchin_removal_recolonization_site_small_isolated_island_source_leinaas_christie_1996_summarized_in_christie_et_al_2019_24,site_macroalgae_site_sea_urchin_removal_recolonization_site_small_isolated_island_source_leinaas_christie_1996_summarized_in_christie_et_al_2019_24,macroalgae,case_study,Sea urchin removal recolonization site,Unknown,1988–1989 removal; observed early summer after recruitment,1988,Recovery after urchin removal,Saccharina latissima,,,,Available hard substrate after urchin removal,,,,,,,,,src_christie_et_al_2019_summarizing_leinaas_christie_1996,Norway_Macroalgae_Database.xlsm,Site_Level,27
obs_site_seagrass_site_porsanger_north_barents_sea_5_20,site_seagrass_site_porsanger_north_barents_sea_5,seagrass,true_point_site,Porsanger,Barents Sea,2022.0,2022,Eelgrass,Zostera marina,0.2,,3.0,Coarse sand/gravel,112.48,,,18.1,19.0,3.6,33.4,22945.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,22
obs_site_seagrass_site_r_vik_west_norwegian_sea_6_19,site_seagrass_site_r_vik_west_norwegian_sea_6,seagrass,true_point_site,Røvik,Norwegian Sea,2015.0,2015,Eelgrass,Zostera marina,1.0,,3.0,Sand,4000.0,,,105.0,174.0,6.4,28.5,10012.0,src_gagnon_et_al_2024_rohr_et_al_2018,Norway_Seagrass_ Master_Database (4).xlsx,Site level,21
obs_site_seagrass_site_kapellkilen_south_east_oslofjord_2_15,site_seagrass_site_kapellkilen_south_east_oslofjord_2,seagrass,true_point_site,Kapellkilen,Oslofjord,2017.0,2017,Eelgrass,Zostera marina,1.5,,1.0,Muddy sand,6900.99,,,124.2,458.6,8.3,25.6,1481.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,17
obs_site_seagrass_site_kapellkilen_south_east_oslofjord_2_16,site_seagrass_site_kapellkilen_south_east_oslofjord_2,seagrass,true_point_site,Kapellkilen,Oslofjord,2017.0,2017,Eelgrass,Zostera marina,2.5,,2.0,Muddy sand,7225.18,,,298.7,312.1,8.3,25.6,1481.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,18
obs_site_seagrass_site_kapellkilen_south_east_oslofjord_2_17,site_seagrass_site_kapellkilen_south_east_oslofjord_2,seagrass,true_point_site,Kapellkilen,Oslofjord,2018.0,2018,Eelgrass,Zostera marina,3.0,,1.0,Muddy sand,5607.23,,,,,8.3,25.6,1481.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,19
obs_site_seagrass_site_kapellkilen_south_east_oslofjord_2_18,site_seagrass_site_kapellkilen_south_east_oslofjord_2,seagrass,true_point_site,Kapellkilen,Oslofjord,2018.0,2018,Unvegetated,,6.0,,1.0,Muddy sand,3187.99,,,,,8.3,25.6,1481.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,20
obs_site_seagrass_site_sandspollen_south_east_oslofjord_7_13,site_seagrass_site_sandspollen_south_east_oslofjord_7,seagrass,true_point_site,Sandspollen,Oslofjord,2018.0,2018,Unvegetated,,3.7,,1.0,Muddy sand,3922.0,,,,,8.3,25.6,1642.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,15
obs_site_seagrass_site_sandspollen_south_east_oslofjord_7_14,site_seagrass_site_sandspollen_south_east_oslofjord_7,seagrass,true_point_site,Sandspollen,Oslofjord,2018.0,2018,Unvegetated,,6.0,,1.0,Muddy sand,3187.99,,,,,8.3,25.6,1642.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,16
obs_site_seagrass_site_hove_south_west_skagerrak_1_11,site_seagrass_site_hove_south_west_skagerrak_1,seagrass,true_point_site,Hove,Skagerrak,2017.0,2017,Eelgrass,Zostera marina,3.0,,5.0,Fine mud,6029.52,,,483.2,166.2,8.9,28.9,1634.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,13
obs_site_seagrass_site_hove_south_west_skagerrak_1_12,site_seagrass_site_hove_south_west_skagerrak_1,seagrass,true_point_site,Hove,Skagerrak,2017.0,2017,Unvegetated,,3.0,,2.0,Mud,5952.74,,,,,8.9,28.9,1634.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,14
obs_site_seagrass_site_langerompa_south_west_skagerrak_3_7,site_seagrass_site_langerompa_south_west_skagerrak_3,seagrass,true_point_site,Langerompa,Skagerrak,2017.0,2017,Eelgrass,Zostera marina,3.0,,2.0,Mud,9420.29,,,350.9,97.4,8.9,26.6,12882.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,9
obs_site_seagrass_site_langerompa_south_west_skagerrak_3_8,site_seagrass_site_langerompa_south_west_skagerrak_3,seagrass,true_point_site,Langerompa,Skagerrak,2017.0,2017,Unvegetated,,3.0,,3.0,Coarse sand/gravel,1571.03,,,,,8.9,26.6,12882.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,10
obs_site_seagrass_site_langerompa_south_west_skagerrak_3_9,site_seagrass_site_langerompa_south_west_skagerrak_3,seagrass,true_point_site,Langerompa,Skagerrak,2017.0,2017,Eelgrass,Zostera marina,7.5,,3.0,Mud,4434.59,,,125.7,19.1,8.9,26.6,12882.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,11
obs_site_seagrass_site_langerompa_south_west_skagerrak_3_10,site_seagrass_site_langerompa_south_west_skagerrak_3,seagrass,true_point_site,Langerompa,Skagerrak,2017.0,2017,Unvegetated,,7.5,,2.0,Coarse sand/gravel,980.46,,,,,8.9,26.6,12882.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,12
obs_site_seagrass_site_merd_south_west_skagerrak_4_5,site_seagrass_site_merd_south_west_skagerrak_4,seagrass,true_point_site,Merdø,Skagerrak,2017.0,2017,Eelgrass,Zostera marina,3.0,,3.0,Sand,373.77,,,161.0,270.4,8.9,26.8,50958.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,7
obs_site_seagrass_site_merd_south_west_skagerrak_4_6,site_seagrass_site_merd_south_west_skagerrak_4,seagrass,true_point_site,Merdø,Skagerrak,2017.0,2017,Unvegetated,,3.0,,3.0,Sand,211.52,,,,,8.9,26.8,50958.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,8
obs_site_seagrass_site_s_mskilen_south_west_skagerrak_8_1,site_seagrass_site_s_mskilen_south_west_skagerrak_8,seagrass,true_point_site,Sømskilen,Skagerrak,2017.0,2017,Eelgrass,Zostera marina,3.0,,3.0,Muddy sand,9166.59,,,215.2,66.9,8.9,19.1,6472.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,3
obs_site_seagrass_site_s_mskilen_south_west_skagerrak_8_2,site_seagrass_site_s_mskilen_south_west_skagerrak_8,seagrass,true_point_site,Sømskilen,Skagerrak,2017.0,2017,Unvegetated,,3.0,,3.0,Muddy sand,6443.67,,,,,8.9,19.1,6472.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,4
obs_site_seagrass_site_r_ya_south_west_skagerrak_9_3,site_seagrass_site_r_ya_south_west_skagerrak_9,seagrass,true_point_site,Ærøya,Skagerrak,2017.0,2017,Eelgrass,Zostera marina,3.0,,2.0,Coarse sand/gravel,520.6,,,44.3,93.2,9.1,25.3,50606.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,5
obs_site_seagrass_site_r_ya_south_west_skagerrak_9_4,site_seagrass_site_r_ya_south_west_skagerrak_9,seagrass,true_point_site,Ærøya,Skagerrak,2017.0,2017,Unvegetated,,3.0,,3.0,Coarse sand/gravel,218.91,,,,,9.1,25.3,50606.0,src_gagnon_et_al_2024,Norway_Seagrass_ Master_Database (4).xlsx,Site level,6
